run_id,algorithm,stochasticity,discount_factor,learning_rate,epsilon,episode_length_mc,grid_name,reward_function,cumulative_reward,step,episode,conv_metricV,conv_metricQ
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10050378152592121,0.9502665505164744,500,grid_configs/A1_grid.npy,Default,-1088,39332,101,27.17978,40.555603
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.2294157338705618,0.9497914172412162,500,grid_configs/A1_grid.npy,Default,-1140,39832,102,69.05931,132.77686
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1203858530857692,0.9493165215325956,500,grid_configs/A1_grid.npy,Default,-339,39974,103,33.423798,76.97078
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1091089451179962,0.9488418632718294,500,grid_configs/A1_grid.npy,Default,-1140,40474,104,36.017014,53.110245
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.11785113019775793,0.9483674423401935,500,grid_configs/A1_grid.npy,Default,-1204,40974,105,38.338455,57.430664
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.0944911182523068,0.9478932586190235,500,grid_configs/A1_grid.npy,Default,-956,41474,106,27.394753,36.692535
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.08770580193070293,0.9474193119897141,500,grid_configs/A1_grid.npy,Default,-141,41558,107,27.848198,32.931614
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.09759000729485333,0.9469456023337193,500,grid_configs/A1_grid.npy,Default,-1304,42058,108,60.415955,74.81888
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.15249857033260467,0.9464721295325524,500,grid_configs/A1_grid.npy,Default,-200,42141,109,74.808266,77.11755
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.09128709291752768,0.9459988934677862,500,grid_configs/A1_grid.npy,Default,-920,42641,110,48.81714,48.81714
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.08247860988423225,0.9455258940210524,500,grid_configs/A1_grid.npy,Default,-1400,43141,111,101.204666,119.761795
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.08512565307587486,0.9450531310740419,500,grid_configs/A1_grid.npy,Default,-920,43641,112,31.869339,42.971176
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.09325048082403138,0.9445806045085049,500,grid_configs/A1_grid.npy,Default,-1152,44141,113,64.92447,89.81743
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.08944271909999159,0.9441083142062507,500,grid_configs/A1_grid.npy,Default,-1032,44641,114,44.332138,44.332138
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.13483997249264842,0.9436362600491477,500,grid_configs/A1_grid.npy,Default,-1060,45141,115,92.25967,95.615776
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.19611613513818404,0.9431644419191232,500,grid_configs/A1_grid.npy,Default,10,45142,116,5.0805445,5.0805445
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.09284766908852593,0.9426928596981636,500,grid_configs/A1_grid.npy,Default,-976,45642,117,35.91478,42.156982
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.0827605888602368,0.9422215132683146,500,grid_configs/A1_grid.npy,Default,-1124,46142,118,26.581375,47.711426
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.0873704056661038,0.9417504025116805,500,grid_configs/A1_grid.npy,Default,-1420,46642,119,59.02922,61.746277
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.09090909090909091,0.9412795273104247,500,grid_configs/A1_grid.npy,Default,-1108,47142,120,55.26004,62.38327
